"jS_mouseID","jS_sex","jS_lon","jS_lat","jS_year","jS_BMI","jS_HI","jS_Ntrapped","ID","imperv","tcd","clc","swf_perc","dist_road","dist_path","prec_aug_2015","prec_aug_2016","prec_aug_2017","prec_aug_2018","soil_moist","soil_ph","CATO","PITO","POTO","cat_dens","pig_dens","pou_dens","gem_char","clc_fct"
"AA_0278","F",13.5353,52.8969,"2017",-1.25453925491098,0.23,10,11,21.1700000762939,0,"211",0,92.9600830078125,157.869552612305,42.3640632629395,47.9785614013672,66.0025787353516,13.675666809082,91.1115188598633,6.24493026733398,1.79432463645935,0.0239626169204712,0.0121016260236502,0.0754082500934601,0.00100705248769373,0.508582711219788,"12060198","3"
"AA_0641","M",13.2144,53.1514,"2018",1.57343565685993,0.6,15,12,37.2099990844727,0,"112",0,73.8466033935547,232.88703918457,50.6054039001465,36.8394432067871,59.6054039001465,25.9978694915771,93.7740859985352,5.67053747177124,0.000240711160586216,7.25991731087561e-06,5.60886765015312e-05,1.12378320409334e-05,3.3893624618031e-07,0.00261855381540954,"12065084","2"
"SK_3207","M",13.5994,52.2731,"2015",-1.47069779843726,0,4,13,8.26000022888184,45.7799987792969,"313",30,79.2605743408203,26.4818744659424,38.211669921875,36.3556137084961,64.1016387939453,6.99801254272461,88,NA,0.32527357339859,0.0150937316939235,0.253844559192657,0.0328002460300922,0.00152203603647649,25.5974178314209,"12061332","4"
"SK_3045","F",12.1606,48.8864,"2015",0.680574033961871,0.88,1,14,13.4099998474121,16.3299999237061,"112",18,27.5070953369141,49.3555488586426,31.2881965637207,45.6969413757324,104.192321777344,55.6631813049316,102.618476867676,7.57093667984009,0.536088764667511,0.0299952458590269,3.91250760003459e-05,0.144040018320084,0.00805932935327291,0.0105123948305845,"09375205","2"
"AA_0581","M",12.6278,52.7269,"2018",0.15063748040729,0,6,15,5.32000017166138,20.3999996185303,"311",40,78.2753143310547,236.479476928711,74.4565658569336,26.1345825195312,69.8998031616211,44.3910102844238,90.5670852661133,6.55923986434937,0.542061805725098,4.36859154433478e-05,0.591653048992157,0.116082325577736,9.35532261792105e-06,126.702278137207,"12063142","4"
"SK_3117","F",13.8756,52.6053,"2015",-0.0256582351429581,0.92,12,16,67.4199981689453,0.270000010728836,"112",0,35.2653617858887,97.4070205688477,27.4374332427979,46.5084648132324,73.0497360229492,11,90.9610061645508,4.84835958480835,0.121439479291439,0.0863277539610863,7.63468560762703e-05,0.0113624865189195,0.00807725824415684,0.00714339502155781,"12064029","2"
"AA_0562","M",13.66,52.7369,"2018",1.22065316055048,0.15,10,17,13.9200000762939,6.28999996185303,"112",8,23.978723526001,237.783996582031,39.5828094482422,38.4275436401367,68.319450378418,12.3670301437378,91.1306610107422,6.16892766952515,0.0653280913829803,0.00768664060160518,0.0030740606598556,0.0107333343476057,0.00126290670596063,0.505064845085144,"12060024","2"
"AA_0316","M",14.1161,52.7914,"2017",-0.856764961609464,0.63,4,18,23.3700008392334,8.93000030517578,"112",6,20.6065368652344,114.478157043457,43.0161514282227,39.9625053405762,63.0127410888672,5.99671649932861,88,6.87792158126831,0.545795977115631,0.0857158526778221,0.986383676528931,0.0836265087127686,0.0131333274766803,151.133071899414,"12064371","2"
"AA_0603","F",12.4558,52.6308,"2018",0.324755255561293,0,2,19,12.6999998092651,11.7700004577637,"231",33,33.092643737793,268.491027832031,84.1555252075195,26,70.4087524414062,62.9429321289062,90,5.63531637191772,0.0944777503609657,0.00777362566441298,4.51766318292357e-05,0.0184484552592039,0.00151793810073286,0.00882153771817684,"12063293","3"
"AA_0463","F",14.2606,52.0875,"2017",0.672637335232758,0.89,8,20,7.65999984741211,43.7900009155273,"112",42,51.2510108947754,111.590744018555,28.204460144043,37.228515625,72.9501037597656,18.1752777099609,87.2756118774414,5.71917533874512,1.66057419776917,0.215890631079674,0.000149910119944252,0.095374770462513,0.0123996380716562,0.00861005950719118,"12067137","2"
"AA_0429","M",14.2775,52.6867,"2017",-0.885276830597757,1,10,21,19.5,3.23000001907349,"112",41,58.1911582946777,121.974517822266,35.5818176269531,37.0997200012207,61.1678886413574,7.66415214538574,87,7.07854700088501,0.0684643909335136,0.0451752878725529,6.20483115199022e-05,0.0183743163943291,0.012124041095376,0.0166523847728968,"12064365","2"
"AA_0382","F",13.8975,52.2761,"2017",1.69698438863748,0.44,14,22,67.870002746582,0,"121",0,26.8478717803955,250.533706665039,32.2477836608887,37.2477836608887,65.7902908325195,12,87.7522506713867,6.32859802246094,0.391730159521103,0.000116356575745158,3.01401376724243,0.0217231214046478,6.45247246211511e-06,167.140029907227,"12067481","1"
"AA_0239","M",13.7897,52.5861,"2017",-0.882300568574337,0.21,1,23,52.9500007629395,4.94999980926514,"121",0,32.9284934997559,143.825119018555,30.9187316894531,41.7135276794434,68.0676498413086,11.0211420059204,90.1250534057617,6.31463241577148,0.121439479291439,0.0863277539610863,7.63468560762703e-05,0.0113624865189195,0.00807725824415684,0.00714339502155781,"12064029","1"
"AA_0399","F",14.1442,52.0172,"2017",-1.55118428884739,0.88,9,24,23.2800006866455,2.67000007629395,"112",10,40.8915481567383,115.825088500977,30.0012226104736,38.2073516845703,72.0423355102539,18.8931007385254,87.2168197631836,5.12230110168457,0.080185167491436,0.00154991541057825,0.0465387776494026,0.00606728950515389,0.000117275871161837,3.52140235900879,"12061450","2"
"AA_0414","F",13.8975,52.2761,"2017",1.88412889262217,0.28,14,25,67.870002746582,0,"121",0,26.8478717803955,250.533706665039,32.2477836608887,37.2477836608887,65.7902908325195,12,87.7522506713867,6.32859802246094,0.391730159521103,0.000116356575745158,3.01401376724243,0.0217231214046478,6.45247246211511e-06,167.140029907227,"12067481","1"
"AA_0447","F",14.2725,52.6825,"2017",0.596430299531556,1,1,26,27.4599990844727,2.32999992370605,"112",63,35.0028877258301,128.488540649414,34.9657096862793,37.006721496582,60.943675994873,7.93334245681763,87,7.09058046340942,0.0684643909335136,0.0451752878725529,6.20483115199022e-05,0.0183743163943291,0.012124041095376,0.0166523847728968,"12064365","2"
"AA_0165","F",13.8473,51.8535,"2016",-1.89025294744664,0.4,13,27,12.7399997711182,0.889999985694885,"231",7,25.0671215057373,244.898742675781,34.0022468566895,45.7346687316895,66.7877883911133,19.0590572357178,88,6.64060306549072,2.57593035697937,0.122642524540424,0.136892333626747,0.185363709926605,0.0088253440335393,9.85075950622559,"12066196","3"
"SK_3132","F",13.6664,52.7339,"2015",1.88706008884839,0,15,28,47.2400016784668,6.51999998092651,"112",0,14.6529951095581,28.4916172027588,39.2913398742676,38.1301574707031,68.128173828125,12.1721296310425,91.1677017211914,5.96711921691895,0.0653280913829803,0.00768664060160518,0.0030740606598556,0.0107333343476057,0.00126290670596063,0.505064845085144,"12060024","2"
"AA_0524","F",13.9619,52.9147,"2018",4.24930220156273,0.8,1,29,28.2800006866455,0.680000007152557,"231",3,26.617790222168,33.842887878418,30.7283325195312,41.702953338623,53.8985366821289,11.35728931427,91.2860870361328,6.15963268280029,1.27460813522339,0.0363998897373676,0.0105603924021125,0.104965493083,0.00299757393077016,0.869660794734955,"12060045","3"
"SK_3147","M",13.7586,53.1406,"2015",-1.54397291203957,0.9,4,30,26.7800006866455,3.36999988555908,"112",18,64.4313354492188,495.067810058594,29.0504570007324,34.3246765136719,43.0615615844727,17.2804527282715,93.5215682983398,6.78740453720093,1.10848784446716,0.0617912746965885,0.0714863985776901,0.114503666758537,0.00638286443427205,7.38434314727783,"12073201","2"
"AA_0674","M",13.1781,52.9967,"2018",1.65974705255336,0.15,5,31,22.1399993896484,0,"211",0,29.2021389007568,639.667053222656,47.0406379699707,33.9618797302246,55.0023727416992,22.3533725738525,92.0011367797852,6.45621681213379,0.910161852836609,1.26673853397369,0.0721716657280922,0.0745571255683899,0.103766575455666,5.91203832626343,"12065100","3"
"AA_0149","F",13.7875,51.8853,"2016",-0.593346839449521,0.24,2,32,5.88000011444092,0.610000014305115,"211",3,32.2638969421387,34.6299896240234,33.5538024902344,49.013313293457,61.384449005127,13.7675590515137,89,6.54842758178711,4.17577743530273,0.00283589027822018,1.93239152431488,0.20132352411747,0.000136724571348168,93.1648941040039,"12061320","3"
"AA_0529","M",13.2567,53.0322,"2018",-1.1057060014452,0.05,1,33,37.6399993896484,9.06999969482422,"112",18,18.5734710693359,507.027160644531,46.991527557373,35.9997673034668,56,20.4482688903809,92,6.42450189590454,3.41104459762573,0.0392261631786823,0.0959925428032875,0.152729421854019,0.00175635027699172,4.29806327819824,"12065356","2"
"AA_0467","F",13.3047,52.9936,"2016",-1.35286005869033,0,7,34,9.17000007629395,0,"211",1,104.969741821289,594.888977050781,47.1969833374023,38.3888206481934,56.1969833374023,15.8309297561646,92.0007476806641,6.61646509170532,3.41104459762573,0.0392261631786823,0.0959925428032875,0.152729421854019,0.00175635027699172,4.29806327819824,"12065356","3"
"SK_3120","F",14.1189,52.8367,"2015",2.22365808235524,0.96,1,35,51.8400001525879,5.26999998092651,"112",49,11.2458038330078,232.295333862305,41.5497016906738,41.2353591918945,62.5217018127441,6,88,6.48177242279053,2.81315588951111,0.0907081663608551,0.000169543141964823,0.214459255337715,0.0069150822237134,0.0129250194877386,"12064044","2"
